,pobreza,P01F03,P15B02,P15B04,P15B06A,P13A02A,P06B01,P06B10A,P06B10B,P09A03B,P09A03C,P09B02B,P09B02C,P09F03B,P09F03C,P09F04B,P09F04C,P09F05B,P09F05C,P09F06B,P09F06C,P09F07B,P09F07C,P09F08B,P09F08C,P09F09B,P09F09C,P10B01,P10B08,P10B20B,P11A05B,P11A06B
0,No pobre,0.0,0.0,3000.0,1.0,1.0,3,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,20.0,1.3333333333333333,0.0,0.6666666666666666,833.3333333333334,0.0,0.0,0.0
1,No pobre,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,1.0,2333.3333333333335,0.0,0.0,0.0
2,Pobre no extr.,4000.0,0.0,2160.0,1.0,1.0,13,0.05555555555555555,3.888888888888889,1.3333333333333333,1.6666666666666667,0.05555555555555555,6.666666666666667,0.2222222222222222,3.3333333333333335,0.2222222222222222,20.555555555555557,0.16666666666666666,3.3333333333333335,0.0,0.0,0.0,0.0,0.4444444444444444,9.444444444444445,0.8888888888888888,15.0,0.5,327.77777777777777,0.0,0.0,0.0
3,Pobre no extr.,0.0,0.0,0.0,0.0,0.0,3,0.0,8.333333333333334,1.8333333333333333,0.0,0.0,13.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.16666666666666666,283.3333333333333,166.66666666666666,150.0,0.0
4,No pobre,0.0,0.0,0.0,0.0,1.0,3,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,2.6666666666666665,0.0,0.6666666666666666,1333.3333333333333,0.0,0.0,0.0
5,No pobre,0.0,0.0,0.0,0.0,1.0,3,0.0,6.666666666666667,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,2.0,0.0,0.6666666666666666,466.6666666666667,0.0,0.0,0.0
6,No pobre,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,1.5,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1800.0,0.0,0.0,0.0
7,No pobre,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,3.0,10.0,0.3333333333333333,0.0,0.0,0.0,0.0
8,No pobre,0.0,0.0,0.0,0.0,2.0,4,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,6.0,1.4,18.0,0.4,0.0,0.0,0.0,0.0
9,No pobre,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.333333333333333,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.333333333333334,0.6666666666666666,1333.3333333333333,0.0,0.0,0.0
10,Pobre no extr.,0.0,50.0,0.0,1.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0
11,No pobre,0.0,0.0,0.0,0.0,1.0,2,0.0,15.0,0.0,0.0,0.0,15.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1333.3333333333333,0.0,0.0,0.0
12,No pobre,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,20.0,2.3333333333333335,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,10.0,0.6666666666666666,0.0,0.0,0.0,0.0
13,No pobre,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0
14,Pobre no extr.,9600.0,0.0,0.0,0.0,1.0,3,0.0,11.25,0.0,0.0,0.0,11.25,0.0,12.5,3.0,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.5,2.5,1.0,265.0,0.0,0.0,0.0
15,No pobre,0.0,0.0,0.0,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
